W,Record.W.HomeTeam,Record.L.HomeTeam,HomeTeamNumber,OppTeamNumber,Local,OT,Tm.Score,Opp.Score,1stD.Off,TotYd.Off,PassY.Off,RushY.Off,TO.Off,1stD.Def,TotYd.Def,PassY.Def,RushY.Def,TO.Def,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,Wild Card,Division,Conf. Champ.,Super Bowl,Thu,Sat,Sun,Mon
0,11,7,21,29,1,0,10,27,7,147,126,21,2,21,308,122,186,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
1,1,0,16,22,1,0,43,13,21,339,216,123,0,19,346,244,102,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,16,24,0,0,17,19,18,243,119,124,0,21,288,121,167,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,2,16,8,1,0,7,20,21,340,249,91,1,12,292,204,88,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2,2,16,18,1,0,24,10,22,365,227,138,0,24,422,364,58,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,3,16,3,0,0,7,14,14,252,150,102,0,18,313,204,109,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,4,16,32,1,0,0,16,12,204,165,39,3,11,270,167,103,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,4,16,11,0,0,23,20,22,403,306,97,1,24,365,326,39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,4,4,16,28,0,0,27,23,16,246,174,72,1,23,389,283,106,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,5,16,25,1,0,20,30,24,431,310,121,3,22,370,214,156,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5,5,16,1,0,0,35,32,19,371,146,225,1,28,530,433,97,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,6,5,16,8,0,0,42,20,21,471,252,219,2,23,369,252,117,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
1,7,5,16,24,1,0,31,17,15,292,138,154,2,22,391,309,82,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,8,5,16,9,1,0,42,21,26,552,391,161,1,22,355,258,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
0,8,6,16,17,0,0,21,24,24,432,269,163,1,23,374,234,140,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
0,8,7,16,12,0,0,28,38,17,397,248,149,1,23,377,275,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,9,7,16,17,1,0,35,14,25,467,222,245,0,20,301,192,109,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1,10,7,16,7,1,0,20,13,19,272,71,201,1,18,307,209,98,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
1,11,7,16,6,1,0,28,12,15,300,83,217,0,29,530,345,185,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
0,11,8,16,1,1,0,24,35,20,295,210,85,0,27,404,292,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0,0,1,17,12,1,0,28,30,22,414,234,180,1,25,510,362,148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,17,8,0,0,13,12,17,263,137,126,0,16,281,178,103,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,2,1,17,11,1,0,27,20,20,376,337,39,1,22,366,293,73,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,2,2,17,25,0,0,10,16,18,264,128,136,2,19,297,203,94,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,3,2,17,18,0,0,53,32,31,592,426,166,1,22,373,316,57,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,4,2,17,1,1,0,31,24,35,472,280,192,3,20,309,256,53,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,4,3,17,24,1,0,23,30,21,391,291,100,2,23,383,321,62,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,5,3,17,9,0,0,27,24,29,388,258,130,0,15,378,285,93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
